what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681239153
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681243398
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681250744
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681274218
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681277229
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681282421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681289044
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1362681289158
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681303586
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681305256
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1362681305377
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681333115
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681334735
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681334803
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681336296
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1362681338312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1362681339047
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681341568
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1362681351376
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681351426
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681353579
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1362681354569
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1362681355520
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681357339
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681359072
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1362681359189
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1362681459274
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1362681478588
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362681480171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681484797
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681486338
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.format",1362681534095
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681608160
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681609612
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681619835
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681621538
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1362681631957
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362681632663
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362684764953
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1362684766603
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362684767847
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362684770591
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362684813791
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362685310635
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1362685314084
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362685316791
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1362685324713
